date,open,high,low,close,volume
2025-05-08 04:00:00,556.5,566.0,556.5,565.54,7504.0
2025-05-08 04:01:00,565.45,565.55,565.42,565.44,625.0
2025-05-08 04:02:00,565.45,565.61,565.43,565.54,721.0
2025-05-08 04:03:00,565.52,565.64,565.49,565.55,1527.0
2025-05-08 04:04:00,565.56,565.71,565.56,565.71,337.0
2025-05-08 04:05:00,565.71,565.73,565.42,565.49,1150.0
2025-05-08 04:06:00,565.47,565.59,565.39,565.4,283.0
2025-05-08 04:07:00,565.38,565.39,565.28,565.38,178.0
2025-05-08 04:08:00,565.38,565.39,565.3,565.38,170.0
2025-05-08 04:09:00,565.3,565.38,565.3,565.38,168.0
2025-05-08 04:10:00,565.43,565.65,565.25,565.64,5076.0
2025-05-08 04:11:00,565.7,565.7,565.56,565.68,829.0
2025-05-08 04:12:00,565.71,565.79,565.65,565.79,2597.0
2025-05-08 04:13:00,565.74,566.0,565.68,566.0,7664.0
2025-05-08 04:14:00,565.87,565.92,565.84,565.87,2780.0
2025-05-08 04:15:00,565.85,565.91,565.83,565.89,1376.0
2025-05-08 04:16:00,565.9,566.09,565.89,566.09,3067.0
2025-05-08 04:17:00,566.09,566.28,566.09,566.14,889.0
2025-05-08 04:18:00,566.15,566.24,566.09,566.19,288.0
2025-05-08 04:19:00,566.17,566.35,566.17,566.35,151.0
2025-05-08 04:20:00,566.35,566.5,566.35,566.36,3132.0
2025-05-08 04:21:00,566.35,566.49,566.23,566.31,16570.0
2025-05-08 04:22:00,566.21,566.25,566.12,566.21,500.0
2025-05-08 04:23:00,566.16,566.28,566.16,566.22,173.0
2025-05-08 04:24:00,566.19,566.33,566.19,566.25,401.0
2025-05-08 04:25:00,566.29,566.29,566.29,566.29,20.0
2025-05-08 04:26:00,566.28,566.35,566.25,566.35,234.0
2025-05-08 04:27:00,566.35,566.4,566.33,566.4,123.0
2025-05-08 04:28:00,566.4,566.46,566.36,566.38,559.0
2025-05-08 04:29:00,566.43,566.46,566.35,566.46,495.0
2025-05-08 04:30:00,566.42,566.5,566.42,566.5,182.0
2025-05-08 04:31:00,566.49,566.55,566.44,566.49,1841.0
2025-05-08 04:32:00,566.47,566.56,566.47,566.5,284.0
2025-05-08 04:33:00,566.51,566.52,566.42,566.51,263.0
2025-05-08 04:34:00,566.46,566.49,566.39,566.49,67.0
2025-05-08 04:35:00,566.47,566.49,566.42,566.49,201.0
2025-05-08 04:36:00,566.48,566.49,566.42,566.43,303.0
2025-05-08 04:37:00,566.48,566.5,566.46,566.49,469.0
2025-05-08 04:38:00,566.51,566.54,566.43,566.54,86.0
2025-05-08 04:39:00,566.46,566.55,566.46,566.52,461.0
2025-05-08 04:40:00,566.55,566.55,566.5,566.5,186.0
2025-05-08 04:41:00,566.54,566.61,566.5,566.59,3205.0
2025-05-08 04:42:00,566.59,566.68,566.57,566.68,854.0
2025-05-08 04:43:00,566.67,566.69,566.56,566.56,778.0
2025-05-08 04:44:00,566.53,566.62,566.51,566.6,198.0
2025-05-08 04:45:00,566.66,566.69,566.62,566.69,297.0
2025-05-08 04:46:00,566.64,566.64,566.63,566.63,500.0
2025-05-08 04:47:00,566.68,566.76,566.65,566.7,558.0
2025-05-08 04:48:00,566.71,566.78,566.69,566.78,230.0
2025-05-08 04:49:00,566.79,566.86,566.79,566.83,682.0
2025-05-08 04:50:00,566.85,566.87,566.8,566.87,388.0
2025-05-08 04:51:00,566.86,566.98,566.83,566.94,1476.0
2025-05-08 04:52:00,566.88,566.94,566.88,566.93,56.0
2025-05-08 04:53:00,566.92,566.96,566.88,566.92,2663.0
2025-05-08 04:54:00,566.87,566.92,566.78,566.92,364.0
2025-05-08 04:55:00,566.89,566.97,566.89,566.97,157.0
2025-05-08 04:56:00,566.86,566.91,566.84,566.86,527.0
2025-05-08 04:57:00,566.86,566.95,566.86,566.95,25.0
2025-05-08 04:58:00,566.96,567.04,566.96,567.04,1653.0
2025-05-08 04:59:00,567.0,567.0,566.96,566.96,157.0
2025-05-08 05:00:00,566.97,567.0,566.93,566.94,903.0
2025-05-08 05:01:00,567.04,567.04,566.96,567.01,1282.0
2025-05-08 05:02:00,567.0,567.04,567.0,567.04,1072.0
2025-05-08 05:03:00,567.0,567.0,566.98,566.99,659.0
2025-05-08 05:04:00,566.98,567.0,566.93,566.95,400.0
2025-05-08 05:05:00,566.96,566.96,566.88,566.89,175.0
2025-05-08 05:06:00,566.88,566.92,566.84,566.84,331.0
2025-05-08 05:07:00,566.88,566.95,566.84,566.87,435.0
2025-05-08 05:08:00,566.87,566.87,566.8,566.85,227.0
2025-05-08 05:09:00,566.82,566.85,566.81,566.82,126.0
2025-05-08 05:10:00,566.85,566.85,566.8,566.8,104.0
2025-05-08 05:11:00,566.82,566.87,566.79,566.84,319.0
2025-05-08 05:12:00,566.79,566.85,566.79,566.8,10086.0
2025-05-08 05:13:00,566.8,566.8,566.77,566.77,586.0
2025-05-08 05:14:00,566.8,566.87,566.79,566.79,323.0
2025-05-08 05:15:00,566.77,566.8,566.74,566.79,1185.0
2025-05-08 05:16:00,566.82,566.85,566.82,566.85,335.0
2025-05-08 05:17:00,566.81,566.82,566.76,566.82,490.0
2025-05-08 05:18:00,566.78,566.8,566.74,566.78,70.0
2025-05-08 05:19:00,566.78,566.84,566.78,566.81,120.0
2025-05-08 05:20:00,566.81,567.0,566.81,567.0,460.0
2025-05-08 05:21:00,566.99,567.04,566.98,567.0,1191.0
2025-05-08 05:22:00,566.99,567.0,566.89,566.9,1734.0
2025-05-08 05:23:00,566.95,567.04,566.95,566.96,271.0
2025-05-08 05:24:00,567.02,567.13,567.02,567.06,1339.0
2025-05-08 05:25:00,567.05,567.39,567.04,567.2,3638.0
2025-05-08 05:26:00,567.22,567.32,567.21,567.23,193.0
2025-05-08 05:27:00,567.24,567.26,567.11,567.11,662.0
